,playerID,W,L,G,GS,CG,SV,SHO,IPouts,H,ER,HR,BB,SO,BAOpp,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,Years_Played,HoF,votedBy,IP,ERA,TimeFrame,Name,FinalYear,cluster_label
514,bairdo01,55,43,584,5,0,81,0,2728,839,367,86,405,689,0.2352116624614522,77.0,43,7.0,2,3902.0,299,398,49.0,34.0,64.0,15,0.0,,909.3333333333334,3.63233137829912,1976 - 1990,Doug Bair,1990,0
515,barkele01,74,76,248,194,35,5,7,3971,1289,639,96,513,975,0.2450570342205323,20.0,65,21.0,2,5674.0,26,695,65.0,41.0,109.0,11,0.0,,1323.6666666666667,4.344749433392092,1976 - 1987,Len Barker,1987,2
516,haasmo01,100,83,266,252,56,2,8,4965,1717,738,162,436,853,0.2569589943130799,36.0,40,10.0,4,6928.0,8,806,39.0,65.0,126.0,12,0.0,,1655.0,4.013293051359517,1976 - 1987,Moose Haas,1987,2
517,kneppbo01,146,155,445,413,78,1,30,8124,2737,1106,228,857,1473,0.2520025780314888,78.0,60,47.0,13,11488.0,10,1258,134.0,73.0,262.0,15,0.0,,2708.0,3.675775480059084,1976 - 1990,Bob Knepper,1990,6
518,krukomi01,124,117,369,355,41,1,10,6572,2188,949,196,767,1478,0.2497716894977169,84.0,71,47.0,22,9393.0,4,1069,100.0,69.0,147.0,14,0.0,,2190.6666666666665,3.8988131466828975,1976 - 1989,Mike Krukow,1989,5
519,langfri01,73,106,260,196,85,0,10,4473,1570,664,160,416,671,0.2598047327486348,29.0,38,18.0,4,6329.0,24,745,46.0,53.0,111.0,11,0.0,,1491.0,4.00804828973843,1976 - 1986,Rick Langford,1986,2
520,martide01,245,193,692,562,122,8,30,11999,3897,1643,372,1165,2149,0.2451560140915953,71.0,83,122.0,30,16754.0,51,1835,120.0,109.0,332.0,23,0.0,,3999.6666666666665,3.6970580881740154,1976 - 1998,Dennis Martinez,1998,1
521,mcgresc01,138,108,356,309,83,5,23,6422,2245,949,235,518,904,0.2590284989038883,26.0,28,26.0,12,8982.0,24,1031,76.0,75.0,185.0,13,0.0,,2140.6666666666665,3.9898785425101218,1976 - 1988,Scott McGregor,1988,4
522,sambijo01,37,38,461,5,1,84,1,1887,562,212,48,195,489,0.2294814209881584,32.0,18,10.0,1,2588.0,274,241,35.0,15.0,60.0,11,0.0,,629.0,3.0333863275039747,1976 - 1987,Joe Sambito,1987,0
523,sutclri01,171,139,457,392,72,6,18,8093,2662,1223,236,1081,1679,0.2475127847512784,75.0,100,46.0,38,11548.0,30,1324,110.0,89.0,185.0,18,0.0,,2697.6666666666665,4.080192759174596,1976 - 1994,Rick Sutcliffe,1994,6
524,suttebr01,68,71,661,0,0,300,0,3126,879,328,77,309,861,0.2194756554307116,83.0,37,13.0,8,4251.0,512,370,75.0,25.0,85.0,12,1.0,BBWAA,1042.0,2.833013435700576,1976 - 1988,Bruce Sutter,1988,3
525,aasedo01,66,60,448,91,22,82,5,3328,1085,468,89,457,641,0.2458644912757761,45.0,22,7.0,3,4730.0,235,503,50.0,34.0,106.0,13,0.0,,1109.3333333333333,3.796875,1977 - 1990,Don Aase,1990,3
